City,Latitude,Longitude,TYPE_OF_BC,NAME,COUNTRY,
"Koidula , Estonia",57.838009,27.599623, Road,Koidula,Estonia,"Koidula, Estonia"
"Koidula , Estonia",57.838009,27.599623,Railway,Koidula,Estonia,"Koidula, Estonia"
"Luhamaa , Estonia",57.637086,27.347375,Road,Luhamaa,Estonia,"Luhamaa, Estonia"
"Narva , Estonia",59.379693,28.179075,Railway,Narva,Estonia,"Narva, Estonia"
"Narva 1 , Estonia",59.379693,28.179075,Road,Narva 1,Estonia,"Narva 1, Estonia"
"Saatse , Estonia",57.88366,27.784834,Road,Saatse,Estonia,"Saatse, Estonia"
Imatra FINLAND,61.169598,28.764546,Railway,Imatra,Finland,"Imatra, Finland"
Imatra FINLAND,61.169598,28.764546,Road,Imatra,Finland,"Imatra, Finland"
Inari FINLAND,68.906221,27.027766,Road,Inari,Finland,"Inari, Finland"
Kuusamo FINLAND,65.964588,29.188665,Road,Kuusamo,Finland,"Kuusamo, Finland"
Niirala FINLAND,62.175269,30.593533,Road,Niirala,Finland,"Niirala, Finland"
Niirala FINLAND,62.175269,30.593533,Railway,Niirala,Finland,"Niirala, Finland"
Nuijamaa FINLAND,60.960322,28.540105,Road,Nuijamaa,Finland,"Nuijamaa, Finland"
Parikkala FINLAND,61.550187,29.502402,Road,Parikkala,Finland,"Parikkala, Finland"
Raja-Jooseppi FINLAND,68.475925,28.47013,Road,Raja-Jooseppi,Finland,"Raja-Jooseppi, Finland"
Salla FINLAND,66.832652,28.670118,Road,Salla,Finland,"Salla, Finland"
Vaalimaa FINLAND,60.597934,27.808941,Road,Vaalimaa,Finland,"Vaalimaa, Finland"
Vainikkala FINLAND,60.866427,28.299857,Railway,Vainikkala ,Finland,"Vainikkala , Finland"
Vartius FINLAND,64.495577,29.907499,Road,Vartius,Finland,"Vartius, Finland"
Vartius FINLAND,64.495577,29.907499,Railway,Vartius,Finland,"Vartius, Finland"
Barabás HUNGARY,48.231032,22.430712,NOT SPECIFIED,Barabás,Hungary,"Barabás, Hungary"
Beregsurány HUNGARY,48.161742,22.549046,Road,Beregsurány,Hungary,"Beregsurány, Hungary"
Eperjeske HUNGARY,48.34481,22.212508,Railway,Eperjeske,Hungary,"Eperjeske, Hungary"
Lónya HUNGARY,48.321447,22.270337,Road,Lónya,Hungary,"Lónya, Hungary"
Nagyhódos HUNGARY,47.962561,22.847365,Road,Nagyhódos,Hungary,"Nagyhódos, Hungary"
Tiszabecs HUNGARY,48.097166,22.819914,River,Tiszabecs ,Hungary,"Tiszabecs , Hungary"
Tiszabecs HUNGARY,48.097166,22.819914,Road,Tiszabecs  ,Hungary,"Tiszabecs  , Hungary"
Záhony HUNGARY,48.404683,22.177433,Road,Záhony,Hungary,"Záhony, Hungary"
Záhony HUNGARY,48.404683,22.177433,Railway,Záhony,Hungary,"Záhony, Hungary"
Grebņeva-Ubiļinka LATVIA,56.855854,27.821019,Road,Grebņeva-Ubiļinka,Latvia,"Grebņeva-Ubiļinka, Latvia"
Indra-Bigosova LATVIA,56.879635,24.603189,Railway,Indra-Bigosova,Latvia,"Indra-Bigosova, Latvia"
Kaplava-Pļusi LATVIA,55.857171,27.047484,Road,Kaplava-Pļusi,Latvia,"Kaplava-Pļusi, Latvia"
Kārsava-Skangaļi LATVIA,56.783781,27.681978,Railway,Kārsava-Skangaļi,Latvia,"Kārsava-Skangaļi, Latvia"
Meikšāni-Gavriļino LATVIA,56.174616,28.094546,Road,Meikšāni-Gavriļino ,Latvia,"Meikšāni-Gavriļino , Latvia"
Pededze-Bruniševa LATVIA,57.527682,27.460694,Road,Pededze-Bruniševa,Latvia,"Pededze-Bruniševa, Latvia"
Pēternieki-Grigorovščina LATVIA,56.762528,23.934816,Road,Pēternieki-Grigorovščina ,Latvia,"Pēternieki-Grigorovščina , Latvia"
Piedruja-Druja LATVIA,55.796318,27.443598,Road,Piedruja-Druja,Latvia,"Piedruja-Druja, Latvia"
Silene-Urbani LATVIA,55.749507,26.787599,Road,Silene-Urbani ,Latvia,"Silene-Urbani , Latvia"
Terehova-Burački LATVIA,56.353064,28.184854,Road,Terehova-Burački,Latvia,"Terehova-Burački, Latvia"
Vientuļi-Ludonka LATVIA,57.122457,27.731353,Road,Vientuļi-Ludonka ,Latvia,"Vientuļi-Ludonka , Latvia"
Zilupe-Posiņi LATVIA,56.387721,28.119561,Railway,Zilupe-Posiņi,Latvia,"Zilupe-Posiņi, Latvia"
Adutiškis – Moldevičiai LITHUANIA,55.15942,26.584677,Road,Adutiškis – Moldevičiai,Lithuania,"Adutiškis – Moldevičiai, Lithuania"
Eišiškės – Dotiškės LITHUANIA,54.174252,24.999369,Road,Eišiškės – Dotiškės,Lithuania,"Eišiškės – Dotiškės, Lithuania"
Jurbarkas – Sovetsk LITHUANIA,55.077407,22.741957,River-Ferry,Jurbarkas – Sovetsk,Lithuania,"Jurbarkas – Sovetsk, Lithuania"
Kena – Gudagojis LITHUANIA,54.648999,25.621686,Railway,Kena – Gudagojis,Lithuania,"Kena – Gudagojis, Lithuania"
Krakūnai – Geranainys LITHUANIA,54.149191,25.617992,Road,Krakūnai – Geranainys,Lithuania,"Krakūnai – Geranainys, Lithuania"
Kybartai – Černyševskoje LITHUANIA,54.640092,22.733626,Road,Kybartai – Černyševskoje,Lithuania,"Kybartai – Černyševskoje, Lithuania"
Kybartai – Nesterov LITHUANIA,54.630547,22.569125,Railway,Kybartai – Nesterov,Lithuania,"Kybartai – Nesterov, Lithuania"
Latežeris – Pariečė LITHUANIA,53.987227,24.098794,Road,Latežeris – Pariečė,Lithuania,"Latežeris – Pariečė, Lithuania"
Lavoriškės – Kotlovka LITHUANIA,54.716599,25.747523,Road,Lavoriškės – Kotlovka,Lithuania,"Lavoriškės – Kotlovka, Lithuania"
Medininkai – Kamenyj Log LITHUANIA,54.523201,25.723865,Road,Medininkai – Kamenyj Log,Lithuania,"Medininkai – Kamenyj Log, Lithuania"
Nida – Morskoje LITHUANIA,55.228846,20.916739,Road,Nida – Morskoje,Lithuania,"Nida – Morskoje, Lithuania"
Nida – Rybačyj LITHUANIA,55.302965,21.004113,River-Ferry,Nida – Rybačyj,Lithuania,"Nida – Rybačyj, Lithuania"
Norviliškės – Pickūnai LITHUANIA,54.237437,25.760797,Road,Norviliškės – Pickūnai,Lithuania,"Norviliškės – Pickūnai, Lithuania"
Pagėgiai – Sovetsk LITHUANIA,55.134312,21.904681,Railway,Pagėgiai – Sovetsk,Lithuania,"Pagėgiai – Sovetsk, Lithuania"
Panemunė – Sovetsk LITHUANIA,55.08944,21.902155,Road,Panemunė – Sovetsk,Lithuania,"Panemunė – Sovetsk, Lithuania"
Papelekis – Lentupis LITHUANIA,55.082622,26.256693,Road,Papelekis – Lentupis,Lithuania,"Papelekis – Lentupis, Lithuania"
Prienai – Kiemeliškės LITHUANIA,54.680498,25.02213,Road,Prienai – Kiemeliškės,Lithuania,"Prienai – Kiemeliškės, Lithuania"
Raigardas – Privalka LITHUANIA,53.944241,23.918448,Road,Raigardas – Privalka,Lithuania,"Raigardas – Privalka, Lithuania"
Rakai – Petiulevcai LITHUANIA,53.974543,24.705869,Road,Rakai – Petiulevcai,Lithuania,"Rakai – Petiulevcai, Lithuania"
Ramoniškiai – Pograničnyj LITHUANIA,54.675679,23.275987,Road,Ramoniškiai – Pograničnyj,Lithuania,"Ramoniškiai – Pograničnyj, Lithuania"
Rusnė – Sovetsk LITHUANIA,55.298648,21.372322,River-Ferry,Rusnė – Sovetsk,Lithuania,"Rusnė – Sovetsk, Lithuania"
Šalčininkai – Benekainys LITHUANIA,54.309767,25.387564,Road,Šalčininkai – Benekainys,Lithuania,"Šalčininkai – Benekainys, Lithuania"
Stasylos – Benekainys LITHUANIA,54.342497,25.334284,Railway,Stasylos – Benekainys,Lithuania,"Stasylos – Benekainys, Lithuania"
Šumskas – Loša LITHUANIA,54.608805,25.722445,Road,Šumskas – Loša,Lithuania,"Šumskas – Loša, Lithuania"
Švendubrė – Privalka LITHUANIA,53.979923,23.935861,River-Ferry,Švendubrė – Privalka,Lithuania,"Švendubrė – Privalka, Lithuania"
Tverečius – Vidžiai LITHUANIA,55.311677,26.6023,Road,Tverečius – Vidžiai,Lithuania,"Tverečius – Vidžiai, Lithuania"
Ureliai – Klevyčia LITHUANIA,54.251862,25.712304,Road,Ureliai – Klevyčia,Lithuania,"Ureliai – Klevyčia, Lithuania"
Storskog NORWAY,64.540799,13.590435,Road,Storskog,Norway,"Storskog, Norway"
Bezledy (road) POLAND,54.323533,20.731149,Road,Bezledy (road),Poland,"Bezledy (road), Poland"
Bialowieza (road) POLAND,52.722885,23.655567,Road,Bialowieza (road),Poland,"Bialowieza (road), Poland"
Bobrowniki (road) POLAND,52.779573,18.959199,Road,Bobrowniki (road),Poland,"Bobrowniki (road), Poland"
Braniewo (railway) POLAND,54.379713,19.820054,Railway,Braniewo (railway),Poland,"Braniewo (railway), Poland"
Budomierz (road) POLAND,50.101516,23.266381,Road,Budomierz (road),Poland,"Budomierz (road), Poland"
Czeremcha (railway) POLAND,52.513967,23.351748,Railway,Czeremcha (railway),Poland,"Czeremcha (railway), Poland"
Dolhobyczow (road) POLAND,50.578089,24.090424,Road,Dolhobyczow (road),Poland,"Dolhobyczow (road), Poland"
Dorohusk (railway) POLAND,51.154901,23.802976,Railway,Dorohusk (railway),Poland,"Dorohusk (railway), Poland"
Dorohusk (road) POLAND,51.154901,23.802976,Road,Dorohusk (road),Poland,"Dorohusk (road), Poland"
Goldap (road) POLAND,54.306911,22.303448,Road,Goldap (road),Poland,"Goldap (road), Poland"
Gronowo (road) POLAND,53.103012,18.790244,Road,Gronowo (road),Poland,"Gronowo (road), Poland"
Grzechotki (road) POLAND,54.419617,20.032969,Road,Grzechotki (road),Poland,"Grzechotki (road), Poland"
Hrebenne (road) POLAND,50.282311,23.58021,Road,Hrebenne (road),Poland,"Hrebenne (road), Poland"
Hrubieszow (railway) POLAND,50.80518,23.89091,Railway,Hrubieszow (railway),Poland,"Hrubieszow (railway), Poland"
Korczowa (road) POLAND,49.955714,23.08044,Road,Korczowa (road),Poland,"Korczowa (road), Poland"
Kroscienko (road) POLAND,49.436836,20.432917,Road,Kroscienko (road),Poland,"Kroscienko (road), Poland"
Kukuryki (road) POLAND,52.10846,23.563766,Road,Kukuryki (road),Poland,"Kukuryki (road), Poland"
Kuznica Bialostocka (railway) POLAND,53.511028,23.642367,Railway,Kuznica Bialostocka (railway),Poland,"Kuznica Bialostocka (railway), Poland"
Kuznica Bialostocka (road) POLAND,53.510671,23.649299,Road,Kuznica Bialostocka (road),Poland,"Kuznica Bialostocka (road), Poland"
Medyka (road) POLAND,49.804916,22.934503,Road,Medyka (road),Poland,"Medyka (road), Poland"
Polowce (road) POLAND,"52.470074,",23.358005,Road,Polowce (road),Poland,"Polowce (road), Poland"
Przemysl (railway) POLAND,49.783862,22.767791,Railway,Przemysl (railway),Poland,"Przemysl (railway), Poland"
Rudawka (river) POLAND,50.134024,19.701895,River,Rudawka (river),Poland,"Rudawka (river), Poland"
Siemianowka (railway) POLAND,52.901449,23.840396,Railway,Siemianowka (railway),Poland,"Siemianowka (railway), Poland"
Skandawa (railway) POLAND,54.272807,21.252867,Railway,Skandawa (railway),Poland,"Skandawa (railway), Poland"
Slawatycze (road) POLAND,51.762919,23.554476,Road,Slawatycze (road),Poland,"Slawatycze (road), Poland"
Terespol (railway) POLAND,52.073226,23.608072,Railway,Terespol (railway),Poland,"Terespol (railway), Poland"
Terespol (road) POLAND,52.073226,23.608072,Road,Terespol (road),Poland,"Terespol (road), Poland"
Werchrata (railway) POLAND,50.25636,23.472217,Railway,Werchrata (railway),Poland,"Werchrata (railway), Poland"
Zosin (road) POLAND,50.85,24.1,Road,Zosin (road),Poland,"Zosin (road), Poland"
Albita ROMANIA,46.797994,28.143579,Road,Albita,Romania,"Albita, Romania"
Braila ROMANIA,45.265246,27.959471,Port,Braila,Romania,"Braila, Romania"
Galati ROMANIA,45.435321,28.007994,Port,Galati,Romania,"Galati, Romania"
Galati ROMANIA,45.435321,28.007994,Road,Galati,Romania,"Galati, Romania"
Galati ROMANIA,45.435321,28.007994,Railway,Galati,Romania,"Galati, Romania"
Halmeu ROMANIA,47.97995,23.013257,Road,Halmeu,Romania,"Halmeu, Romania"
Iasi (Ungheni) ROMANIA,47.196931,27.781735,Railway,Iasi (Ungheni),Romania,"Iasi (Ungheni), Romania"
Oancea ROMANIA,45.917782,28.109492,Road,Oancea,Romania,"Oancea, Romania"
Radauti Prut ROMANIA,48.239289,26.806398,Road,Radauti Prut,Romania,"Radauti Prut, Romania"
Sculeni ROMANIA,47.314543,27.607123,Road,Sculeni,Romania,"Sculeni, Romania"
Sighetul Marmatiei ROMANIA,47.927707,23.897651,Road,Sighetul Marmatiei,Romania,"Sighetul Marmatiei, Romania"
Siret ROMANIA,47.955267,26.064168,Road,Siret,Romania,"Siret, Romania"
Stanca ROMANIA,44.87555,27.815317,Road,Stanca,Romania,"Stanca, Romania"
Sulina ROMANIA,45.156745,29.659549,Port,Sulina,Romania,"Sulina, Romania"
Tulcea ROMANIA,45.171617,28.791444,Port,Tulcea,Romania,"Tulcea, Romania"
Vicsani ROMANIA,47.93684,25.979091,Railway,Vicsani,Romania,"Vicsani, Romania"
Čierna nad Tisou SLOVAKIA,48.416247,22.089159,Railway,Čierna nad Tisou,Slovakia,"Čierna nad Tisou, Slovakia"
Maťovské Vojkovce SLOVAKIA,48.564692,22.140608,Railway,Maťovské Vojkovce,Slovakia,"Maťovské Vojkovce, Slovakia"
Ubľa SLOVAKIA,48.899219,22.391791,NOT SPECIFIED,Ubľa,Slovakia,"Ubľa, Slovakia"
Veľké Slemence SLOVAKIA,48.509593,22.147047,Pedestrians,Veľké Slemence,Slovakia,"Veľké Slemence, Slovakia"
VYSNE NEMECKE SLOVAKIA,48.661135,22.263759,Road,VYSNE NEMECKE,Slovakia,"VYSNE NEMECKE, Slovakia"