month,bidding_no,vehicle_class,premium
2014-06,2,Category E,65301
2014-07,1,Category A,61990
2014-07,1,Category B,64889
2014-07,1,Category C,43390
2014-07,1,Category D,4001
2014-07,1,Category E,63001
2014-07,2,Category A,62890
2014-07,2,Category B,65001
2014-07,2,Category C,52010
2014-07,2,Category D,4252
2014-07,2,Category E,65002
2014-08,1,Category A,64600
2014-08,1,Category B,68689
2014-08,1,Category C,54009
2014-08,1,Category D,4353
2014-08,1,Category E,69001
2014-08,2,Category A,65710
2014-08,2,Category B,72990
2014-08,2,Category C,52390
2014-08,2,Category D,4354
2014-08,2,Category E,72810
2014-09,1,Category A,64841
2014-09,1,Category B,73010
2014-09,1,Category C,49901
2014-09,1,Category D,4453
2014-09,1,Category E,74403
2014-09,2,Category A,62000
2014-09,2,Category B,71990
2014-09,2,Category C,49889
2014-09,2,Category D,4504
2014-09,2,Category E,74801
2014-10,1,Category A,63880
2014-10,1,Category B,72180
2014-10,1,Category C,57389
2014-10,1,Category D,4800
2014-10,1,Category E,72003
2014-10,2,Category A,63990
2014-10,2,Category B,72002
2014-10,2,Category C,61000
2014-10,2,Category D,4412
2014-10,2,Category E,72201
2014-11,1,Category A,64900
2014-11,1,Category B,70890
2014-11,1,Category C,63701
2014-11,1,Category D,4290
2014-11,1,Category E,71300
2014-11,2,Category A,67889
2014-11,2,Category B,72890
2014-11,2,Category C,65001
2014-11,2,Category D,4189
2014-11,2,Category E,73900
2014-12,1,Category A,67089
2014-12,1,Category B,74389
2014-12,1,Category C,60001
2014-12,1,Category D,4210
2014-12,1,Category E,76904
2014-12,2,Category A,65889
2014-12,2,Category B,74000
2014-12,2,Category C,52100
2014-12,2,Category D,4312
2014-12,2,Category E,73990
2015-01,1,Category A,66010
2015-01,1,Category B,75289
2015-01,1,Category C,55011
2015-01,1,Category D,4403
2015-01,1,Category E,75200
2015-01,2,Category A,65001
2015-01,2,Category B,76889
2015-01,2,Category C,55012
2015-01,2,Category D,4889
2015-01,2,Category E,76790
2015-02,1,Category A,62002
2015-02,1,Category B,70890
2015-02,1,Category C,52101
2015-02,1,Category D,5504
2015-02,1,Category E,71921
2015-02,2,Category A,57199
2015-02,2,Category B,66751
2015-02,2,Category C,53202
2015-02,2,Category D,5800
2015-02,2,Category E,67901
2015-03,1,Category A,61410
2015-03,1,Category B,68668
2015-03,1,Category C,56501
2015-03,1,Category D,5501
2015-03,1,Category E,70500
2015-03,2,Category A,64700
2015-03,2,Category B,71889
2015-03,2,Category C,59999
2015-03,2,Category D,5610
2015-03,2,Category E,72100
2015-04,1,Category A,67749
2015-04,1,Category B,76612
2015-04,1,Category C,64001
2015-04,1,Category D,6312
2015-04,1,Category E,78000
2015-04,2,Category A,67601
2015-04,2,Category B,78001
2015-04,2,Category C,53001
2015-04,2,Category D,6801
2015-04,2,Category E,79500
2015-05,1,Category A,68589
2015-05,1,Category B,77600
2015-05,1,Category C,50098
2015-05,1,Category D,6512
2015-05,1,Category E,78004
2015-05,2,Category A,66590
2015-05,2,Category B,75002
2015-05,2,Category C,52001
2015-05,2,Category D,6501
2015-05,2,Category E,78001
2015-06,1,Category A,66000
2015-06,1,Category B,75000
2015-06,1,Category C,50900
2015-06,1,Category D,6509
2015-06,1,Category E,75801
2015-06,2,Category A,61000
2015-06,2,Category B,71509
2015-06,2,Category C,50502
2015-06,2,Category D,6401
2015-06,2,Category E,74501
2015-07,1,Category A,58700
2015-07,1,Category B,65501
2015-07,1,Category C,50001
2015-07,1,Category D,6508
2015-07,1,Category E,69001
2015-07,2,Category A,55889
2015-07,2,Category B,58109
2015-07,2,Category C,50002
2015-07,2,Category D,6312
2015-07,2,Category E,60101
2015-08,1,Category A,56209
2015-08,1,Category B,60789
2015-08,1,Category C,49302
2015-08,1,Category D,6201
2015-08,1,Category E,57885
2015-08,2,Category A,57498
2015-08,2,Category B,62140
2015-08,2,Category C,46501
2015-08,2,Category D,6112
2015-08,2,Category E,61001
2015-09,1,Category A,57089
2015-09,1,Category B,62101
2015-09,1,Category C,46801
2015-09,1,Category D,6512
2015-09,1,Category E,61010
2015-09,2,Category A,55399
2015-09,2,Category B,60001
2015-09,2,Category C,45289
2015-09,2,Category D,6158
2015-09,2,Category E,61300
2015-10,1,Category A,56001
2015-10,1,Category B,58190
2015-10,1,Category C,44890
2015-10,1,Category D,6201
2015-10,1,Category E,58801
2015-10,2,Category A,57301
2015-10,2,Category B,59889
2015-10,2,Category C,42303
2015-10,2,Category D,6302
2015-10,2,Category E,60000
2015-11,1,Category A,56001
2015-11,1,Category B,57501
2015-11,1,Category C,43809
2015-11,1,Category D,5912
2015-11,1,Category E,60689
2015-11,2,Category A,59200
2015-11,2,Category B,61103
2015-11,2,Category C,45890
2015-11,2,Category D,6502
2015-11,2,Category E,62019
2015-12,1,Category A,56989
2015-12,1,Category B,60001
2015-12,1,Category C,48101
2015-12,1,Category D,6501
2015-12,1,Category E,60003
2015-12,2,Category A,54301
2015-12,2,Category B,55001
2015-12,2,Category C,46001
2015-12,2,Category D,6600
2015-12,2,Category E,57501
2016-01,1,Category A,45002
2016-01,1,Category B,54920
2016-01,1,Category C,42036
2016-01,1,Category D,6889
2016-01,1,Category E,55089
2016-01,2,Category A,51301
2016-01,2,Category B,50089
2016-01,2,Category C,46502
2016-01,2,Category D,6512
2016-01,2,Category E,51000
2016-02,1,Category A,46651
2016-02,1,Category B,38610
2016-02,1,Category C,45036
2016-02,1,Category D,6503
2016-02,1,Category E,44001
2016-02,2,Category A,43000
2016-02,2,Category B,46970
2016-02,2,Category C,45001
2016-02,2,Category D,6353
2016-02,2,Category E,45009
2016-03,1,Category A,45000
2016-03,1,Category B,47604
2016-03,1,Category C,48890
2016-03,1,Category D,6503
2016-03,1,Category E,48002
2016-03,2,Category A,45504
2016-03,2,Category B,46502
2016-03,2,Category C,46502
2016-03,2,Category D,6589
2016-03,2,Category E,46667
2016-04,1,Category A,46009
2016-04,1,Category B,47000
2016-04,1,Category C,44213
2016-04,1,Category D,6503
2016-04,1,Category E,47510
2016-04,2,Category A,47300
2016-04,2,Category B,49602
2016-04,2,Category C,43002
2016-04,2,Category D,6501
2016-04,2,Category E,49501
2016-05,1,Category A,47889
2016-05,1,Category B,51010
2016-05,1,Category C,42302
2016-05,1,Category D,6302
2016-05,1,Category E,49000
2016-05,2,Category A,47020
2016-05,2,Category B,49156
2016-05,2,Category C,43002
2016-05,2,Category D,6303
2016-05,2,Category E,49700
2016-06,1,Category A,53694
2016-06,1,Category B,56000
2016-06,1,Category C,46434
2016-06,1,Category D,6302
2016-06,1,Category E,55100
2016-06,2,Category A,55200
2016-06,2,Category B,57010
2016-06,2,Category C,48002
2016-06,2,Category D,6303
2016-06,2,Category E,57390
2016-07,1,Category A,52301
2016-07,1,Category B,56089
2016-07,1,Category C,47889
2016-07,1,Category D,6012
2016-07,1,Category E,56002
2016-07,2,Category A,53000
2016-07,2,Category B,57508
2016-07,2,Category C,49890
2016-07,2,Category D,6302
2016-07,2,Category E,57501
2016-08,1,Category A,52503
2016-08,1,Category B,57903
2016-08,1,Category C,48302
2016-08,1,Category D,6206
2016-08,1,Category E,58201
2016-08,2,Category A,53334
2016-08,2,Category B,56500
2016-08,2,Category C,48001
2016-08,2,Category D,6352
2016-08,2,Category E,56956
2016-09,1,Category A,51506
2016-09,1,Category B,57002
2016-09,1,Category C,49801
2016-09,1,Category D,6452
2016-09,1,Category E,56889
2016-09,2,Category A,50000
2016-09,2,Category B,55501
2016-09,2,Category C,49890
2016-09,2,Category D,6501
2016-09,2,Category E,55201
2016-10,1,Category A,51507
2016-10,1,Category B,53001
2016-10,1,Category C,48702
2016-10,1,Category D,6353
2016-10,1,Category E,54200
2016-10,2,Category A,50991
2016-10,2,Category B,56410
2016-10,2,Category C,45589
2016-10,2,Category D,6354
2016-10,2,Category E,56340
2016-11,1,Category A,52668
2016-11,1,Category B,56206
2016-11,1,Category C,48001
2016-11,1,Category D,6311
2016-11,1,Category E,56000
2016-11,2,Category A,50951
2016-11,2,Category B,53001
2016-11,2,Category C,49002
2016-11,2,Category D,6212
2016-11,2,Category E,54901
2016-12,1,Category A,48000
2016-12,1,Category B,46229
2016-12,1,Category C,51209
2016-12,1,Category D,6113
2016-12,1,Category E,50010
2016-12,2,Category A,49751
2016-12,2,Category B,51109
2016-12,2,Category C,49500
2016-12,2,Category D,6101
2016-12,2,Category E,50389
2017-01,1,Category A,50101
2017-01,1,Category B,53106
2017-01,1,Category C,46302
2017-01,1,Category D,6053
2017-01,1,Category E,53001
2017-01,2,Category A,50889
2017-01,2,Category B,52807
2017-01,2,Category C,47001
2017-01,2,Category D,6052
2017-01,2,Category E,52600
2017-02,1,Category A,48401
2017-02,1,Category B,48209
2017-02,1,Category C,48901
2017-02,1,Category D,6412
2017-02,1,Category E,48556
2017-02,2,Category A,49430
2017-02,2,Category B,50621
2017-02,2,Category C,49810
2017-02,2,Category D,6801
2017-02,2,Category E,51000
2017-03,1,Category A,50789
2017-03,1,Category B,53300
2017-03,1,Category C,49002
2017-03,1,Category D,7483
2017-03,1,Category E,53001
2017-03,2,Category A,51765
2017-03,2,Category B,54000
2017-03,2,Category C,47036
2017-03,2,Category D,8081
2017-03,2,Category E,54501
2017-04,1,Category A,52000
2017-04,1,Category B,54405
2017-04,1,Category C,45906
2017-04,1,Category D,7589
2017-04,1,Category E,54556
2017-04,2,Category A,51600
2017-04,2,Category B,54406
2017-04,2,Category C,26501
2017-04,2,Category D,6712
2017-04,2,Category E,54616
2017-05,1,Category A,51106
2017-05,1,Category B,55414
2017-05,1,Category C,26029
2017-05,1,Category D,6301
2017-05,1,Category E,55000
2017-05,2,Category A,46489
2017-05,2,Category B,53001
2017-05,2,Category C,30600
2017-05,2,Category D,6101
2017-05,2,Category E,52000
2017-06,1,Category A,45201
2017-06,1,Category B,50110
2017-06,1,Category C,38501
2017-06,1,Category D,6101
2017-06,1,Category E,50526
2017-06,2,Category A,42801
2017-06,2,Category B,47501
2017-06,2,Category C,36879
2017-06,2,Category D,6001
2017-06,2,Category E,48001
2017-07,1,Category A,42801
2017-07,1,Category B,49802
2017-07,1,Category C,40212
2017-07,1,Category D,6001
2017-07,1,Category E,49899
2017-07,2,Category A,44002
2017-07,2,Category B,50001
2017-07,2,Category C,42809
2017-07,2,Category D,5851
2017-07,2,Category E,50101
2017-08,1,Category A,46778
2017-08,1,Category B,53711
2017-08,1,Category C,42801
2017-08,1,Category D,5701
2017-08,1,Category E,52751
2017-08,2,Category A,42900
2017-08,2,Category B,51000
2017-08,2,Category C,42004
2017-08,2,Category D,3512
2017-08,2,Category E,50000
2017-09,1,Category A,36001
2017-09,1,Category B,49000
2017-09,1,Category C,43002
2017-09,1,Category D,5402
2017-09,1,Category E,48005
2017-09,2,Category A,42902
2017-09,2,Category B,49189
2017-09,2,Category C,46890
2017-09,2,Category D,5501
2017-09,2,Category E,49012
2017-10,1,Category A,41761
2017-10,1,Category B,48109
2017-10,1,Category C,48902
2017-10,1,Category D,5010
2017-10,1,Category E,49000
2017-10,2,Category A,41617
2017-10,2,Category B,49996
2017-10,2,Category C,51890
2017-10,2,Category D,4903
2017-10,2,Category E,52000
2017-11,1,Category A,47112
2017-11,1,Category B,57414
2017-11,1,Category C,58036
2017-11,1,Category D,5502
2017-11,1,Category E,57000
2017-11,2,Category A,46791
2017-11,2,Category B,57390
2017-11,2,Category C,57701
2017-11,2,Category D,5992
2017-11,2,Category E,57501
2017-12,1,Category A,42339
2017-12,1,Category B,53711
2017-12,1,Category C,42000
2017-12,1,Category D,6552
2017-12,1,Category E,54334
2017-12,2,Category A,38200
2017-12,2,Category B,47002
2017-12,2,Category C,45112
2017-12,2,Category D,7501
2017-12,2,Category E,48011
2018-01,1,Category A,41400
2018-01,1,Category B,45289
2018-01,1,Category C,40101
2018-01,1,Category D,7701
2018-01,1,Category E,47390
2018-01,2,Category A,36890
2018-01,2,Category B,42661
2018-01,2,Category C,39000
2018-01,2,Category D,8001
2018-01,2,Category E,44000
2018-02,1,Category A,40000
2018-02,1,Category B,42322
2018-02,1,Category C,38303
2018-02,1,Category D,8451
2018-02,1,Category E,39903
2018-02,2,Category A,36810
2018-02,2,Category B,39000
2018-02,2,Category C,36859
2018-02,2,Category D,7667
2018-02,2,Category E,38801
2018-03,1,Category A,38830
2018-03,1,Category B,39001
2018-03,1,Category C,36003
2018-03,1,Category D,8009
2018-03,1,Category E,39000
2018-03,2,Category A,38000
2018-03,2,Category B,37010
2018-03,2,Category C,35001
2018-03,2,Category D,7602
2018-03,2,Category E,38000
2018-04,1,Category A,37000
2018-04,1,Category B,37605
2018-04,1,Category C,34001
2018-04,1,Category D,7114
2018-04,1,Category E,38039
2018-04,2,Category A,38510
2018-04,2,Category B,37330
2018-04,2,Category C,34202
2018-04,2,Category D,7115
2018-04,2,Category E,38389
2018-05,1,Category A,38941
2018-05,1,Category B,38501
2018-05,1,Category C,33190
2018-05,1,Category D,7204
2018-05,1,Category E,38600
2018-05,2,Category A,38001
2018-05,2,Category B,37989
2018-05,2,Category C,29901
2018-05,2,Category D,7115
2018-05,2,Category E,38700
2018-06,1,Category A,36426
2018-06,1,Category B,36000
2018-06,1,Category C,29902
2018-06,1,Category D,7001
2018-06,1,Category E,37000
2018-06,2,Category A,34110
2018-06,2,Category B,33900
2018-06,2,Category C,32001
2018-06,2,Category D,6889
2018-06,2,Category E,34400
2018-07,1,Category A,25000
2018-07,1,Category B,31000
2018-07,1,Category C,31092
2018-07,1,Category D,6514
2018-07,1,Category E,31001
2018-07,2,Category A,32699
2018-07,2,Category B,32551
2018-07,2,Category C,30889
2018-07,2,Category D,6189
2018-07,2,Category E,32809
2018-08,1,Category A,33798
2018-08,1,Category B,34381
2018-08,1,Category C,30389
2018-08,1,Category D,5514
2018-08,1,Category E,33420
2018-08,2,Category A,31997
2018-08,2,Category B,32429
2018-08,2,Category C,29902
2018-08,2,Category D,4889
2018-08,2,Category E,32311
2018-09,1,Category A,30209
2018-09,1,Category B,32001
2018-09,1,Category C,27001
2018-09,1,Category D,4390
2018-09,1,Category E,31801
2018-09,2,Category A,28000
2018-09,2,Category B,31307
2018-09,2,Category C,27104
2018-09,2,Category D,4214
2018-09,2,Category E,32000
2018-10,1,Category A,28457
2018-10,1,Category B,31301
2018-10,1,Category C,28501
2018-10,1,Category D,4109
2018-10,1,Category E,32552
2018-10,2,Category A,25556
2018-10,2,Category B,31302
2018-10,2,Category C,29501
2018-10,2,Category D,3951
2018-10,2,Category E,32900
2018-11,1,Category A,28199
2018-11,1,Category B,32302
2018-11,1,Category C,29501
2018-11,1,Category D,2509
2018-11,1,Category E,32000
2018-11,2,Category A,25000
2018-11,2,Category B,31101
2018-11,2,Category C,27509
2018-11,2,Category D,2989
2018-11,2,Category E,30959
2018-12,1,Category A,23568
2018-12,1,Category B,31001
2018-12,1,Category C,27009
2018-12,1,Category D,3399
2018-12,1,Category E,30851
2018-12,2,Category A,25501
2018-12,2,Category B,31001
2018-12,2,Category C,27001
2018-12,2,Category D,3789
2018-12,2,Category E,31809