id	name	population
SGP	Singapore	9.186
GBR	United Kingdom	9.069
DEU	Germany	8.810
USA	United States of America 	8.804
FIN	Finland	8.772
SWE	Sweden	8.674
CAN	Canada	8.674
FRA	France	8.608
DNK	Denmark	8.601
JPN	Japan	8.582
AUS	Australia	8.126
NOR	Norway	8.079
NZL	New Zealand	7.876
NLD	Netherlands 	7.659
ITA	Italy	7.533
AUT	Austria	7.527
IND	India	7.515
CHE	Switzerland	7.461
ARE	United Arab Emirates	7.445
CHN	China	7.370
ISR	Israel	7.348
MYS	Malaysia	7.108
EST	Estonia	6.968
BEL	Belgium	6.859
LUX	Luxembourg	6.857
KOR	South Korea	6.839
POL	Poland	6.835
ISL	Iceland	6.809
RUS	Russia	6.748
PRT	Portugal	6.693
CZE	Czech Republic	6.673
MEX	Mexico	6.664
LVA	Latvia	6.548
IRL	Ireland	6.542
URY	Uruguay	6.522
ESP	Spain	6.332
LTU	Lithuania	6.288
SVN	Slovenia	6.232
CHL	Chile	6.190
BRA	Brazil	6.157
TWN	Taiwan	6.152
QAT	Qatar	6.035
173	Malta	5.961
COL	Colombia	5.945
SVK	Slovakia	5.923
TUR	Turkey	5.879
BGR	Bulgaria	5.806
HUN	Hungary	5.794
GRC	Greece	5.760
PHL	Philippines 	5.704
ARG	Argentina	5.684
KEN	Kenya	5.672
CYP	Cyprus	5.668
TUN	Tunisia	5.652
ROU	Romania	5.540
THA	Thailand	5.458
IDN	Indonesia	5.420
SRB	Serbia	5.364
OMN	Oman	5.321
153	Mauritius	5.318
MKD	Republic of North Macedonia	5.284
HRV	Croatia	5.273
UKR	Ukraine	5.266
AZE	Azerbaijan	5.244
KAZ	Kazakhstan	5.236
CRI	Costa Rica	5.202
MNE	Montenegro	5.195
ZAF	South Africa	5.152
PAN	Panama	5.136
VNM	Vietnam	5.081
PER	Peru	5.076
IRN	Iran 	5.049
TTO	Trinidad and Tobago	5.038
JOR	Jordan	4.927
GHA	Ghana	4.888
GEO	Georgia	4.863
DOM	Dominican Republic 	4.804
SAU	Saudi Arabia	4.779
KWT	Kuwait	4.725
MAR	Morocco	4.717
ARM	Armenia	4.716
ECU	Ecuador	4.646
ALB	Albania	4.614
PAK	Pakistan	4.570
SLV	El Salvador	4.566
MDA	Moldova	4.534
JAM	Jamaica	4.476
NPL	Nepal	4.400
BOL	Bolivia 	4.399
196	Seychelles	4.397
UGA	Uganda	4.370
ZMB	Zambia	4.319
SEN	Senegal	4.235
TZA	Tanzania	4.235
BIH	Bosnia and Herzegovina	4.183
HND	Honduras	4.135
KGZ	Kyrgyzstan	4.125
TJK	Tajikistan	3.991
RWA	Rwanda	3.973
163	Bahrain	3.962
169	Cape Verde	3.943
PRY	Paraguay	3.873
BGD	Bangladesh	3.808
CIV	C̫te d'Ivoire	3.807
LKA	Sri Lanka	3.795
BEN	Benin	3.730
NGA	Nigeria	3.612
GMB	Gambia	3.602
MLI	Mali	3.573
ZWE	Zimbabwe	3.511
EGY	Egypt	3.492
LBN	Lebanon	3.487
NAM	Namibia	3.422
MWI	Malawi	3.403
GTM	Guatemala	3.385
BTN	Bhutan	3.305
NIC	Nicaragua	3.280
LSO	Lesotho	3.266
CMR	Cameroon	3.232
BWA	Botswana	3.210
BRN	Brunei Darussalam	3.143
BLR	Belarus	3.095
MNG	Mongolia	3.008
BFA	Burkina Faso	2.859
KHM	Cambodia	2.810
ETH	Ethiopia	2.777
MOZ	Mozambique	2.753
TCD	Chad	2.712
AGO	Angola	2.666
210	Liechtenstein	2.619
MDG	Madagascar	2.570
GAB	Gabon	2.549
BHS	Bahamas 	2.527
VEN	Venezuela 	2.476
212	Monaco	2.430
180	Barbados	2.430
LAO	Laos	2.314
LBR	Liberia	2.304
198	Andorra	2.290
GIN	Guinea	2.251
DZA	Algeria	2.246
207	Saint Kitts and Nevis	2.230
DOM	Dominica	2.191
197	Antigua and Barbuda	2.099
GUY	Guyana	2.094
211	San Marino	2.071
NER	Niger	2.055
BDI	Burundi	2.054
193	Saint Vincent and the Grenadines	2.052
HTI	Haiti	2.034
MRT	Mauritania	2.024
YEM	Yemen	1.955
187	Saint Lucia	1.901
SWZ	Eswatini	1.889
SUR	Suriname	1.769
IRQ	Iraq	1.657
186	Sao Tome and Principe	1.481
UZB	Uzbekistan	1.412
MMR	Myanmar	1.385
SLE	Sierra Leone	1.344
GNQ	Equatorial Guinea	1.278
TGO	Togo	1.139
COG	Congo 	1.093
190	Grenada	1.086
174	Maldives	1.055
188	Tonga	0.996
FJI	Fiji	0.993
VUT	Vanuatu	0.837
217	Palau	0.829
185	Samoa	0.764
BLZ	Belize	0.745
CUB	Cuba	0.709
TLS	Timor-Leste	0.694
AFG	Afghanistan	0.684
SYR	Syria	0.645
194	Kiribati	0.644
224	Tuvalu	0.600
203	Marshall Islands	0.584
PNG	Papua New Guinea	0.550
DJI	Djibouti	0.532
SLB	Solomon Islands	0.525
TKM	Turkmenistan	0.497
LBY	Libya	0.481
COD	Democratic Republic of the Congo 	0.470
222	Nauru	0.464
191	Micronesia 	0.461
SDN	Sudan	0.392
CAF	Central African Republic	0.367
160	Comoros 	0.331
GNB	Guinea-Bissau	0.265
SDS	South Sudan	0.233
ERI	Eritrea	0.217
PRK	North Korea	0.216
SOM	Somalia	0.168
